row,field,value,issue_type,reason,source_skill,action,record_id,process_result,raw_record
15,phone,12700127000,standardization_failed,phone_standardization_failed,format-standardizer,standardize,1014,,"{""id"": 1014, ""title"": ""枚举错误A"", ""content"": ""状态字段不在允许范围内。"", ""publish_date"": ""2026-06-14"", ""phone"": ""12700127000"", ""amount"": ""200.00"", ""status"": ""done"", ""category"": ""news"", ""source"": ""site_n"", ""score"": 78}"
16,phone,12600126000,standardization_failed,phone_standardization_failed,format-standardizer,standardize,1015,,"{""id"": 1015, ""title"": ""枚举错误B"", ""content"": ""类别字段不在允许范围内。"", ""publish_date"": ""2026-06-15"", ""phone"": ""12600126000"", ""amount"": ""210.00"", ""status"": ""valid"", ""category"": ""sports"", ""source"": ""site_o"", ""score"": 79}"
17,phone,12500125000,standardization_failed,phone_standardization_failed,format-standardizer,standardize,1016,,"{""id"": 1016, ""title"": ""低质量内容"", ""content"": ""短"", ""publish_date"": ""2026-06-16"", ""phone"": ""12500125000"", ""amount"": ""220.00"", ""status"": ""valid"", ""category"": ""news"", ""source"": ""site_p"", ""score"": 60}"
18,phone,12400124000,standardization_failed,phone_standardization_failed,format-standardizer,standardize,1017,,"{""id"": 1017, ""title"": ""分数异常A"", ""content"": ""分数字段超过最大值。"", ""publish_date"": ""2026-06-17"", ""phone"": ""12400124000"", ""amount"": ""230.00"", ""status"": ""valid"", ""category"": ""news"", ""source"": ""site_q"", ""score"": 120}"
19,phone,12300123000,standardization_failed,phone_standardization_failed,format-standardizer,standardize,1018,,"{""id"": 1018, ""title"": ""分数异常B"", ""content"": ""分数字段小于最小值。"", ""publish_date"": ""2026-06-18"", ""phone"": ""12300123000"", ""amount"": ""240.00"", ""status"": ""valid"", ""category"": ""news"", ""source"": ""site_r"", ""score"": -5}"
20,phone,12200122000,standardization_failed,phone_standardization_failed,format-standardizer,standardize,1019,,"{""id"": 1019, ""title"": ""来源缺失"", ""content"": ""来源为空，应填充默认值。"", ""publish_date"": ""2026-06-19"", ""phone"": ""12200122000"", ""amount"": ""250.00"", ""status"": ""valid"", ""category"": ""news"", ""source"": ""unknown"", ""score"": 90}"
21,phone,12100121000,standardization_failed,phone_standardization_failed,format-standardizer,standardize,1020,,"{""id"": 1020, ""title"": ""重复组合标题"", ""content"": ""这条记录用于组合字段去重。"", ""publish_date"": ""2026-06-20"", ""phone"": ""12100121000"", ""amount"": ""260.00"", ""status"": ""valid"", ""category"": ""news"", ""source"": ""site_combo"", ""score"": 91}"
23,phone,11900119000,standardization_failed,phone_standardization_failed,format-standardizer,standardize,1022,,"{""id"": 1022, ""title"": ""空值占位"", ""content"": ""内容为N/A，应按缺失处理。"", ""publish_date"": ""2026-06-22"", ""phone"": ""11900119000"", ""amount"": ""280.00"", ""status"": ""valid"", ""category"": ""news"", ""source"": ""site_s"", ""score"": 84}"
24,phone,11800118000,standardization_failed,phone_standardization_failed,format-standardizer,standardize,1023,,"{""id"": 1023, ""title"": ""正常标题T"", ""content"": ""状态为中文待处理，应映射为pending。"", ""publish_date"": ""2026-06-23"", ""phone"": ""11800118000"", ""amount"": ""290.00"", ""status"": ""待处理"", ""category"": ""medical"", ""source"": ""site_t"", ""score"": 82}"
25,phone,117 0011 7000,standardization_failed,phone_standardization_failed,format-standardizer,standardize,1024,,"{""id"": 1024, ""title"": ""正常标题U"", ""content"": ""金额带千分位和货币符号，应标准化。"", ""publish_date"": ""2026-06-24"", ""phone"": ""117 0011 7000"", ""amount"": ""¥1,200.30"", ""status"": ""valid"", ""category"": ""finance"", ""source"": ""site_u"", ""score"": 89}"
13,amount,abc,standardization_failed,amount_standardization_failed,format-standardizer,standardize,1012,,"{""id"": 1012, ""title"": ""金额错误A"", ""content"": ""金额字段无法转换。"", ""publish_date"": ""2026-06-12"", ""phone"": ""12900129000"", ""amount"": ""abc"", ""status"": ""valid"", ""category"": ""finance"", ""source"": ""site_l"", ""score"": 75}"
14,amount,-20.00,standardization_failed,amount_standardization_failed,format-standardizer,standardize,1013,,"{""id"": 1013, ""title"": ""金额错误B"", ""content"": ""金额为负数，不符合规则。"", ""publish_date"": ""2026-06-13"", ""phone"": ""12800128000"", ""amount"": ""-20.00"", ""status"": ""valid"", ""category"": ""finance"", ""source"": ""site_m"", ""score"": 74}"
18,score,120,out_of_range,out_of_range,abnormal-value-detector,detect,1017,,"{""id"": 1017, ""title"": ""分数异常A"", ""content"": ""分数字段超过最大值。"", ""publish_date"": ""2026-06-17"", ""phone"": ""12400124000"", ""amount"": ""230.00"", ""status"": ""valid"", ""category"": ""news"", ""source"": ""site_q"", ""score"": 120}"
19,score,-5,out_of_range,out_of_range,abnormal-value-detector,detect,1018,,"{""id"": 1018, ""title"": ""分数异常B"", ""content"": ""分数字段小于最小值。"", ""publish_date"": ""2026-06-18"", ""phone"": ""12300123000"", ""amount"": ""240.00"", ""status"": ""valid"", ""category"": ""news"", ""source"": ""site_r"", ""score"": -5}"
2,status,有效,not_allowed,not_allowed,abnormal-value-detector,detect,1002,,"{""id"": 1002, ""title"": ""金融标题B"", ""content"": ""金融市场数据更新，内容有效。"", ""publish_date"": ""2026-06-02"", ""phone"": ""13900139000"", ""amount"": ""300.00"", ""status"": ""有效"", ""category"": ""finance"", ""source"": ""site_b"", ""score"": 92}"
15,status,done,not_allowed,not_allowed,abnormal-value-detector,detect,1014,,"{""id"": 1014, ""title"": ""枚举错误A"", ""content"": ""状态字段不在允许范围内。"", ""publish_date"": ""2026-06-14"", ""phone"": ""12700127000"", ""amount"": ""200.00"", ""status"": ""done"", ""category"": ""news"", ""source"": ""site_n"", ""score"": 78}"
24,status,待处理,not_allowed,not_allowed,abnormal-value-detector,detect,1023,,"{""id"": 1023, ""title"": ""正常标题T"", ""content"": ""状态为中文待处理，应映射为pending。"", ""publish_date"": ""2026-06-23"", ""phone"": ""11800118000"", ""amount"": ""290.00"", ""status"": ""待处理"", ""category"": ""medical"", ""source"": ""site_t"", ""score"": 82}"
16,category,sports,not_allowed,not_allowed,abnormal-value-detector,detect,1015,,"{""id"": 1015, ""title"": ""枚举错误B"", ""content"": ""类别字段不在允许范围内。"", ""publish_date"": ""2026-06-15"", ""phone"": ""12600126000"", ""amount"": ""210.00"", ""status"": ""valid"", ""category"": ""sports"", ""source"": ""site_o"", ""score"": 79}"
11,content,手机号位数不足。,regex_not_match,regex_not_match,abnormal-value-detector,detect,1010,,"{""id"": 1010, ""title"": ""手机号错误A"", ""content"": ""手机号位数不足。"", ""publish_date"": ""2026-06-10"", ""phone"": ""1300013"", ""amount"": ""120.00"", ""status"": ""valid"", ""category"": ""news"", ""source"": ""site_j"", ""score"": 85}"
13,content,金额字段无法转换。,regex_not_match,regex_not_match,abnormal-value-detector,detect,1012,,"{""id"": 1012, ""title"": ""金额错误A"", ""content"": ""金额字段无法转换。"", ""publish_date"": ""2026-06-12"", ""phone"": ""12900129000"", ""amount"": ""abc"", ""status"": ""valid"", ""category"": ""finance"", ""source"": ""site_l"", ""score"": 75}"
17,content,短,regex_not_match,regex_not_match,abnormal-value-detector,detect,1016,,"{""id"": 1016, ""title"": ""低质量内容"", ""content"": ""短"", ""publish_date"": ""2026-06-16"", ""phone"": ""12500125000"", ""amount"": ""220.00"", ""status"": ""valid"", ""category"": ""news"", ""source"": ""site_p"", ""score"": 60}"
